Title,Organization_name,Type,Traded as,ISIN,Industry,Predecessors,Headquarters,Area served,Key people,Products,Revenue,Operating income,Net income,Total assets,Total equity,Number of employees,Parent,Subsidiaries,Website
University of Connecticut,University of Connecticut,Public flagship research university land-grant university sea-grant university space-grant university,,,,,,,,,,,,,,,,,www.uconn.edu
Bank of America,Bank of America Corporation,Public,"NYSE: BAC, S&P 100 component, S&P 500 component",US0605051046,"['Investment banking', ' financial services']",,"Charlotte, North Carolina, U.S.",International service,"['Brian Moynihan (Chairman and CEO)', ' Anne Finucane (Co-Vice Chairman)', ' Bruce Thompson (Co-Vice Chairman)']","Consumer banking, corporate banking, insurance, investment banking, mortgage loans, private banking, private equity, wealth management, credit cards",US$91.24 billion (2018),US$34.60 billion (2018),US$28.14 billion (2018),US$2.325 trillion (2018),US$264.74 billion (2018),"204,489 (2019)",,,bankofamerica.com
SRI International,SRI International,501(c)(3) nonprofit scientific research institute,,,['Research and development'],,"333 Ravenswood Avenue Menlo Park, California, United States",Worldwide,"['William A. Jeffrey (President & CEO) Manish Kothari (President', ' SRI Ventures)']",,US$ 540 million (in 2014),,,,,2100 (as of February 2015),,,sri.com
Alcatel-Lucent,Alcatel-Lucent S.A.,,,FR0000130007,['Telecommunications equipment Networking equipment'],"Alcatel, Lucent","Boulogne-Billancourt, France",Worldwide,['Philippe Camus (chairman)'],"Hardware, software and services to telecommunications service providers and enterprises","17,800,000,000 euro (2007)",,"443,000,000 euro (2007)",,,,Nokia,,"www.al-enterprise.com, networks.nokia.com"
University of Western Ontario,University of Western Ontario,Public university,,,,,,,,,,,,,,,,,uwo.ca
University of Akron,The University of Akron,Public,,,,,,,,,,,,,,,,,www.uakron.edu
BT Group,BT Group plc,Public limited company,"LSE: BT.A, NYSE: BT, FTSE 100 Component",GB0030913577,['Telecommunications'],,"BT Centre, London, EC1, United Kingdom",Worldwide,"['Jan du Plessis (chair\xadperson)', ' Philip Jansen (CEO)', ' Simon Lowth (Finance Director)']","Fixed-line telephony, Mobile telephony, Broadband internet, Fibre-optic communication, Digital television, IT and network services, Home security, Fleet management, Supply chain management, Telecommunications equipment",£ 23.428 billion (2019),£3.421 billion (2019),£2.159 billion (2019),,,"106,700 (2019)",,"['BT Ireland', ' BT Italia', ' EE', ' Plusnet']",www.btplc.com
Peking University,Peking University,Public,,,,,,,,,,,,,,,,,www.pku.edu.cn
University of Washington,University of Washington,Public flagship Space grant Sea-grant,,,,,,,,,,,,,,,,,www.washington.edu
Sandia National Laboratories,Sandia National Laboratories,,,,,,,,,,,,,,,,,,www.sandia.gov
Scientific Atlanta,"Scientific Atlanta, Inc.",Subsidiary,,,['Broadband'],,"Lawrenceville, Georgia, United States",,"['Tony Bates', ' Cisco James F. McDonald', ' CEO']",Set-top boxes Cable distribution Cable Modems IPTV hardware,$1.9 billion (fiscal year 2005),,,,,"9,784 (as of June 5, 2007)",Cisco Systems (2006–present),,
Nottingham Trent University,Nottingham Trent University,Public,,,,,,,,,,,,,,,,,www.ntu.ac.uk
Saab Sensis Corporation,Saab Sensis Corporation,,,,['Air Traffic Management'],,"East Syracuse, New York",,"['Mike Gerry', ' President']",,,,,,,,Saab AB,,http://saab.com/region/north-america/saab-sensis/
Trimble (company),Trimble Inc.,Public,NASDAQ : TRMB S&P 400 Component,US8962391004,"['Geospatial', ' Construction', ' Agriculture', ' Transportation and Logistics', ' Telecommunications', ' Asset tracking', ' Mapping', ' Utilities', ' Mobile Resource Management', ' Government', ' RFID']",,"Sunnyvale, California, United States",,"['Robert Painter (CEO)', ' David G. Barnes (CFO)']",,$3.1 billion (2018),,$282.8 million (2018),,,11500 (2018),,,www.trimble.com
William J. Tobin,,,,,,,,,,,,,,,,,,,
University of Toronto,University of Toronto,Public university,,,,,,,,,,,,,,,,,utoronto.ca
Analog Devices,"Analog Devices, Inc.",Public,"NASDAQ: ADI, NASDAQ-100 component, S&P 500 component",US0326541051,['Semiconductors'],,"Norwood, Massachusetts, U.S.",,"['Vincent Roche', ' CEO & President', ' Raymond Stata', ' Chairman of the Board']",Semiconductors,US$ 6.2 billion (2018),US$ 1.055 billion (2017),US$ 727 million (2017),US$ 21.141 billion (2017),US$ 10.162 billion (2017),"15,300 (2017)",,,www.analog.com
Takashi Kato,,,,,,,,,,,,,,,,,,,
Albert Einstein College of Medicine,Albert Einstein College of Medicine,"Private, not-for-profit, nonsectarian",,,,,,,,,,,,,,,,,https://www.einstein.yu.edu/
Dow AgroSciences,Dow AgroSciences LLC,Fully Owned Subsidiary,,,['Agricultural Supplies'],,"Zionsville, Indiana, United States",,,"Insecticide, Herbicide, Fungicide, Fumigant and Seed Technologies",,,,,,,Dow Chemical Company,,www.dowagro.com
Synopsys,Synopsys,Public,"NASDAQ: SNPS, NASDAQ-100 component, S&P 500 component",US8716071076,"['Integrated circuit', ' Self-driving car', ' Software as a service', ' Software Testing', ' Internet of Things']",,"Mountain View, California, U.S.",,"['Aart J. de Geus (Founder', ' Chairman & co- CEO) Chi-Foon Chan (President & co- CEO)']",,$3.3 billion USD (FY 2019),,$625 million USD (FY 2019),,,"13,000",,,www.synopsys.com
University of Western Australia,The University of Western Australia,Public research university,,,,,,,,,,,,,,,,,uwa.edu.au
Intevac,"Intevac, Inc.",Public,NASDAQ : IVAC Russell Microcap Index component,,['Capital Equipment & Photonics'],,"Santa Clara, California",,"['Wendell Blonigan', ' CEO', ' President James Moniz', ' CFO']",,$ 202.5 Million USD (2010),,,,,,,,www.intevac.comFinancial data is FY2010.
Linde plc,Linde plc,Public limited company,"FWB: LIN, NYSE: LIN, DAX component, S&P 500 component",IE00BZ12WP82,['Chemicals'],,"Guildford, Surrey , United Kingdom (Holding company)",,"['Steve Angel (Chief Executive Officer)', ' Wolfgang Reitzle (Chairman of the Board)']","Industrial gas production, medical gas and air separation plant engineering, logistics services",€14.9 billion (2018),€5.247 billion (2018),€1.327 billion (2016),€36.281 billion (2016),€15.823 billion (2016),"59,715 (2016)",,,www.lindeplc.com
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Public Flagship,,,,,,,,,,,,,,,,,www.unc.edu
Twitter,"Twitter, Inc.",,"NYSE: TWTR, S&P 500 Component",,['Internet'],,"San Francisco, California, United States",Worldwide,"['Omid Kordestani', ' (Executive Chairman)', ' Jack Dorsey', ' (CEO)', ' Ned Segal', ' (CFO)']",,US$3.46 billion (2019),US$453 million (2018),US$1.47 billion (2019),US$10.16 billion (2018),US$6.8 billion (2018),,,"['Vine', ' Periscope', ' MoPub']",twitter.com
Brookhaven National Laboratory,Brookhaven National Laboratory,,,,,,,,,,,,,,,,,,www.bnl.gov
Atsushi Matsuo,Atsushi Matsuo,,,,,,,,,,,,,,,,,,
Dassault Systèmes,Dassault Systèmes  SE,Societas Europaea,Euronext : DSY CAC 40 Component,FR0000130650,['CAD / CAM / CAE / PLM Software'],,"Vélizy-Villacoublay, France",,['Bernard Charlès (Vice-chairman and CEO) Charles Edelstenne (Chairman)'],"3D design software, 3D Digital Mock-up and Product lifecycle management (PLM)","€3,477 million (2018)",€768 million (2018),€563 million (2018),"€7,74 billion (end 2018)","€4,62 billion (end 2018)",16 055 (12/31/2018),Dassault Group,,www.3ds.com
George Mason University,George Mason University,Public university research university,,,,,,,,,,,,,,,,,www.gmu.edu
Verizon Communications,Verizon Communications Inc.,Public,"NYSE: VZ, DJIA component, S&P 100 component, S&P 500 component",US92343V1044,"['Telecommunications', ' Mass media']",,"1095 Avenue of the Americas, New York City, New York, U.S.",Worldwide (mainly in United States),"['Hans Vestberg (Chairman', ' CEO)']","Cable television, Landline, Mobile phone, Broadband, Digital television, IPTV, Digital Media, Internet, Telematics",US$ 130.86 billion (2018),US$22.27 billion (2018),US$15.52 billion (2018),US$264.82 billion (2018),US$53.14 billion (2018),"135,400 (2020)",,"['Verizon Delaware', ' Verizon Maryland', ' Verizon North', ' Verizon New England', ' Verizon New Jersey', ' Verizon New York', ' Verizon Pennsylvania', ' Verizon South', ' Verizon Washington', ' DC', ' Verizon Virginia', ' Skyward', ' XO Communications', ' Verizon Hearst Media Partners (50%)']",verizon.com
AkzoNobel,Akzo Nobel N.V.,Naamloze Vennootschap,Euronext Amsterdam : AKZA,NL0000009132,['Chemicals'],,"Amsterdam, Netherlands",Worldwide,['Thierry Vanlancker (CEO) Nils Smedegaard Andersen (Chairman of the supervisory board)'],"Basic and industrial chemicals, decorative paints, industrial (re)finishing products, coatings",€ 9.61 billion (2018),€5.157 million (2018),€6.674 million (2018),€19.128 million (end 2018),€11.834 million (end 2018),"34,500 (end 2018)",,,www.akzonobel.com
Monash University,Monash University,Public research university,,,,,,,,,,,,,,,,,www.monash.edu
Halliburton,Halliburton Company,Public,"NYSE: HAL, S&P 500 component",US4062161017,['Oilfield services & equipment'],,"Houston Center, Houston, Texas, U.S.",Worldwide,"['Jeff Miller (president', ' CEO', ' & \u200b chairman of the board)']",Products and services to the energy industry,US$ 23.995 billion (2018),US$ 2.467 billion (2018),US$ 1.656 billion (2018),US$ 25.085 billion (2017),US$ 8.349 billion (2017),"55,000 (2017)",,,Halliburton.com
University of New Mexico,The University of New Mexico,Flagship Public,,,,,,,,,,,,,,,,,www.unm.edu
Beijing Normal University,Beijing Normal University,Public,,,,,,,,,,,,,,,,,Chinese VersionEnglish Version
John Brown Francis,,,,,,,,,,,,,,,,,,,
Deutsche Telekom,Deutsche Telekom AG,Division,FWB : DTE,DE0005557508,['Telecommunications Network Service Provider'],,Germany,Worldwide,['Timotheus Höttges (CEO) Ulrich Lehner [ de ] (Chairman of the Supervisory board)'],Fixed-line Mobile phone Broadband Digital television Digital Media IT Services Networking Solutions [ buzzword ],"79,095,000,000 euro [24] (2016)","9,164,000,000 euro [24] (2016)","3,104,000,000 euro [24] (2016)","148,485,000,000 euro [24] (31 December 2016)",€22.7 billion (2018),"218,341 [24] (31 December 2016)",,"['T-Systems', ' BT Group plc (12%)', ' Hrvatski Telekom', ' Magenta Telekom', ' Magyar Telekom', ' Makedonski Telekom', ' OTE', ' Slovak Telekom', ' T-Mobile Czech Republic', ' T-Mobile Netherlands', ' T-Mobile Polska', ' T-Mobile US (66%)', ' Telekom Romania']",https://globalcarrier.telekom.com
University of Montana,The University of Montana,Public university (state university),,,,,,,,,,,,,,,,,www.umt.edu
Gentex Corporation,Gentex,,,,,,"Simpson, Pennsylvania, United States",,,,,,,,,,,,www.gentexcorp.com
University of Missouri System,University of Missouri System,Public,,,,,,,,,,,,,,,,,www.umsystem.edu
Taurus (manufacturer),Forjas Taurus S.A.,Sociedade Anônima,"BM&F Bovespa : FJTA3, FJTA4",BRFJTAACNOR5,['Defense'],,"São Leopoldo, Rio Grande do Sul, Brazil",,"['Dennis Braz Gonçalves', ' (CEO) Luis Fernando Costa Estima', ' (Chairman)']",Firearms,US$240 million (2018),,US$15 million (2018),,,"3,150",,['Amadeo Rossi'],taurusarmas.com.br(Brazil)taurususa.com(USA)
David Hyland,David Hyland,,,,,,,,,,,,,,,,,,
Saab AB,Saab AB,Publicly traded Aktiebolag,Nasdaq Stockholm : SAAB B,SE0000112385,['Aerospace and Defence'],,"Stockholm, Sweden",Worldwide,['Marcus Wallenberg (Chairman) Micael Johansson (President & CEO)'],Air Traffic Control systems Fighter aircraft Military aircraft Military systems Radars,33.156 billion kr (2018),2.266 billion kr (2018),1.366 billion kr (2018),56.128 billion kr (2018),19.633 billion kr (2018),"17,096 (2018)",,"['Saab Aircraft Leasing', ' Sensis Corporation']",saabgroup.com
Paccar,PACCAR Inc,Public,NASDAQ : PCAR NASDAQ-100 Component S&P 500 Component,US6937181088,['Automotive'],,"PACCAR Building, Bellevue, Washington, United States","Worldwide (Except Iran, Cuba, Syria, Sudan, and North Korea)",['Mark C. Pigott (Executive Chairman) Preston Feight (CEO)'],"Commercial vehicles, Aftermarket auto parts, Industrial winches",US$ 19.456 billion (2017),US$1.862 billion (2017),US$1.675 billion (2017),US$23.440 billion (2017),US$8.051 billion (2017),"~25,000 (December 2017)",,"['DAF Trucks', ' Leyland Trucks']",www.paccar.com
Repligen,Repligen Corporation,Public company,NASDAQ : RGEN S&P 400 Component,,['Pharmaceutical industry'],,"Waltham, Massachusetts, United States",,['Tony J. Hunt (President and CEO)'],Materials used in the manufacture of biological drugs,US$68 million,US$23 million,,US$119 million,US$104 million,116 (2014),,,www.repligen.com
University of Houston,University of Houston,Public research university,,,,,,,,,,,,,,,,,uh.edu
University of West Florida,University of West Florida,Public Space grant,,,,,,,,,,,,,,,,,www.uwf.edu
McGill University,McGill University,Public,,,,,,,,,,,,,,,,,mcgill.ca
Lovelace Respiratory Research Institute,Lovelace Respiratory Research Institute,,,,,,,,,,,,,,,,,,www.lrri.org
Princeton University,Princeton University,Private,,,,,,,,,,,,,,,,,princeton.edu
City of Hope National Medical Center,City of Hope,Non-profit charitable organization,,,,,"Duarte, California",,,,,,,,,,,,www.cityofhope.org
Ohio State University,The Ohio State University,Flagship Public Land grant Sea grant Space grant,,,,,,,,,,,,,,,,,osu.edu
Vuzix,Vuzix Corporation,Public,NASDAQ : VUZI Russell 2000 Component,,,,"Rochester, New York, United States",,,"M100 Smart Glasses, M300 Smart Glasses, iWear Video Headphones",,,,,,"45 total, 22 engineering staff",,,www.vuzix.com
Audi,Audi AG,Aktiengesellschaft,FWB : NSU,DE0006757008,['Automotive'],,"Ingolstadt, Germany",Worldwide,"['Abraham Schot', ' Chairman of the Board of Management', ' Marc Lichte', ' Head of Design', ' Ulrich Hackenberg', ' Head of Technical Development']",Luxury vehicles,€59.248 billion (2018),€3.529 billion (2018),€3.463 billion (2018),€65.598 billion (2018),€29.698 billion (2018),"91,674 (2018)",,"['Audi Brussels', ' Audi Hungaria Motor Kft.', ' Ducati', ' Italdesign Giugiaro', ' Lamborghini', ' Audi Sport GmbH']",audi.com
University of Notre Dame,University of Notre Dame,Private research university,,,,,,,,,,,,,,,,,www.nd.edu
University of Pennsylvania,University of Pennsylvania,Private research university,,,,,,,,,,,,,,,,,upenn.edu
Pall Corporation,Pall Corporation,Subsidiary of Danaher Corporation,,US6964293079,['Diversified Machinery'],,"Port Washington, New York, United States",,"['Jennifer Honeycutt President & CEO Martin A. Smith Chief Technology Officer Yves Baratelli President', ' Pall Life Sciences Ruby R. Chandy President', ' Pall Industrial Michael Egholm Ph.D. President', ' BioPharmaceuticals Roberto Gregori VP', ' Pall Aerospace Naresh Narasimhan President', ' Pall Asia Roya Behnia Senior Vice President', ' General Counsel & Corporate Secretary Hanjoon Alex Kim Sr. Vice President', ' Corporate Strategy Angelina Rouse Chief Accounting Officer']",,US $ 2.789 Billion (FY 2014) [ citation needed ],,US $ 364 Million (FY 2014) [ citation needed ],,,"10,900 (FY 2011)",,,www.pall.com
Hercules Inc.,Hercules Incorporated,,,,['Chemistry'],,"Hercules Plaza, Wilmington, Delaware, United States",,"['Craig A. Rogerson', ' President and CEO Allen A. Spizzo', ' VP and CFO Paul C. Raymond III', ' VP and President', ' PTV John E. Panichella', ' VP and President', ' Aqualon Edward V. Carrington', ' VP of HR']",chemical,,,,,,,,,http://www.ashland.com/
Mastercard,Mastercard Incorporated,Public,"NYSE: MA (Class A), S&P 100 component, S&P 500 component",US57636Q1040,['Financial services'],,"Mastercard International Global Headquarters, Purchase, New York, U.S.",Worldwide,['Ajaypal Singh Banga (President and CEO) Richard Haythornthwaite (Chairman)'],"Credit cards, payment systems",US$ 12.497 billion (2017),US$6.622 billion (2017),US$3.915 billion (2017),US$21.329 billion (2017),US$5.497 billion (2017),"~13,400 (December 2017)",,,www.mastercard.com
Northrop Corporation,Northrop Corporation,,,,['Aerospace'],,"Hawthorne, California",,,Aircraft,,,,,,,,,
L3 Technologies,"L3 Technologies, Inc.",,NYSE : LLL,US5024131071,"['Aerospace', ' Defense']",,"New York City, New York, United States [ citation needed ]",Worldwide,['Michael T. Strianese (Chairman/C.E.O.) Christopher E. Kubasik (CEO and President)'],"AVCATT, ISR systems, numerous specialized components, electronics, avionics",US$ 9.573 billion (2017),US$ 1.020 billion (2017),US$ 986 million (2017),US$ 12.73 billion (2017),US$ 5.15 billion (2017),"38,000 (2017)",,,www.l3t.com
Harris Corporation,Harris Corporation,,NYSE : HRS S&P 500 Component,US4138751056,['Aerospace and defense'],,"Melbourne, Florida, United States",,"['William M. Brown', ' Chairman', ' (president & CEO since November 1', ' 2011)']",Defense and Communications,US$ 7.4 billion (2016),,,,,"17,000 (2017)",,,www.harris.com
Northeastern University (China),Northeastern University,Public,,,,,,,,,,,,,,,,,english.neu.edu.cn
Northern Illinois University,Northern Illinois University,Public Research,,,,,,,,,,,,,,,,,www.niu.edu
Massachusetts Institute of Technology,,Private Land grant Sea grant Space grant,,,,,,,,,,,,,,,,,web.mit.edu
Alliant Techsystems,Alliant Techsystems Inc.,,NYSE : ATK,US0188041042,"['Aerospace', ' defense', ' and sporting']",,"Arlington, Virginia, U.S.",,"['Mark DeYoung', ' President and CEO']","small-, medium-, and large-caliber military ammunition; sporting ammunition, accessories, and firearms; M855A1 Enhanced Performance Round; medium-caliber gun systems; missile warning systems; tactical rocket motors; XM25 ; Precision Guidance Kit ; AARGM ; AAR-47; Special Mission Aircraft; solid rocket propulsion; GEM-60 Rocket Motors; satellite components; lightweight space deployables and solar arrays; flares and decoys; aerospace structures; facility management and modernization",US$4.78 billion (FY 2014),US$590 million (FY 2014),US$340 million (FY 2014),US$5.77 billion (FY 2014),US$1.91 billion (FY 2014),"16,000",,,www.atk.com
Northrop Grumman,Northrop Grumman Corporation,Public,NYSE : NOC S&P 500 Component,US6668071029,['Defense industry'],,"2980 Fairview Park Drive, West Falls Church, Virginia, United States",Worldwide,['Kathy J. Warden (President and CEO)'],"Military aircraft & unmanned aerial vehicles Military vessels Missiles & missile defense systems Autocannons, chain guns & munitions Satellites & space Information technology Electronic sensors and systems Rocket launch systems",US$ 30.1 billion (2018),US$3.78 billion (2018),US$3.229 billion (2018),US$34.917 billion (2017),US$7.048 billion (2017),"85,000 (2019)",,,www.northropgrumman.com
National Agriculture and Food Research Organization,National Agriculture and Food Research Organization (NARO),,,,,,,,,,,,,,,,,,www.naro.affrc.go.jp
Invitrogen,,Subsidiary,,,,,"Waltham, Massachusetts, USA",,['Marc N. Casper (President & CEO)'],,,,,,,,Thermo Fisher Scientific,,www.thermofisher.com
Hughes Aircraft Company,Hughes Aircraft Company,,,,['Aerospace and defense (Defense and Communications Electronics)'],,"Culver City, El Segundo and Westchester, United States",,,,"$11B peak, 1986",,,,,"84,000 peak, 1985",,,
Lehigh University,Lehigh University,Private,,,,,,,,,,,,,,,,,www.lehigh.edu
John Tyler Caldwell,,,,,,,,,,,,,,,,,,,
Rockwell Collins,"Rockwell Collins, Inc.",,,US7743411016,"['Aerospace industry', ' Defense']",,"Cedar Rapids, Iowa, USA",,,"Avionics, Radios",US$6.822 billion (2017) : 28,US$ 1.102 billion (2017),US$ 705 million (2017),,,"31,200 (2018) (2017)",,,www.rockwellcollins.com/
Larry Miller (Tennessee politician),,,,,,,,,,,,,,,,,,,
BASF,BASF SE,Societas Europaea,FWB : BAS DAX Component,DE000BASF111,['Chemicals'],,"Ludwigshafen, Germany",,"['Jürgen Hambrecht (Chairman of the supervisory board) ', ' Martin Brudermüller (CEO and Chairman of the executive board)']","Chemicals, plastics, performance chemicals, catalysts, coatings, crop technology, crude oil and natural gas exploration and production",€ 62.675 billion (2018),€6.033 billion (2018),€4.707 billion (2018),€86.556 billion (end 2018),€36.109 billion (end 2018),"122,404 (end 2018)",,,basf.com
Celanese,Celanese Corporation,Public,"NYSE: CE, S&P 500 component, Russell 1000 component",US1508701034,['Chemicals and advanced materials'],,"Irving, Texas",Global,['Mark C. Rohr (Chairman) Lori J. Ryerkerk (CEO)'],,$6.14 billion (2018),,,,,"7,592 (2018)",,,celanese.com
Peking University,Peking University,Public,,,,,,,,,,,,,,,,,www.pku.edu.cn
Motorola Solutions,"Motorola Solutions, Inc.",Public,NYSE : MSI S&P 500 Component,US6200763075,['Telecommunications equipment'],,"Chicago, Illinois, U.S.",,['Greg Brown (Chairman and CEO)'],"Two-way radios, radio systems, managed services and smart public safety applications",US$ 7.34 billion (2018),US$1.26 billion (2018),US$966 million (2018),US$9.41 billion (2018),,"17,000 (2019)",,['Airwave Solutions Avigilon'],www.motorolasolutions.com
Henkel North American Consumer Goods,Henkel North American Consumer Goods,Subsidiary,,,"['Consumer brands', ' beauty products', ' and laundry care']",,"Stamford, Connecticut, United States",,,"Persil, Dial, Purex, Renuzit, Right Guard, Soft Scrub, Snuggle, Sun Products and Schwarzkopf Professional.",,,,,,,Henkel AG & Co. KGaA,,www.henkel-northamerica.com
NEC,NEC Corporation,Public KK,TYO : 6701,JP3733000008,"['Information technology', ' Electronics']",,"Shiba, Minato, Tokyo, Japan",Worldwide,"['Nobuhiro Endo (Chairman)', ' Takashi Niino (President)']","Telecommunications equipment, Servers, Consumer electronics, Domestic appliances, Lighting",¥ 2.91 trillion (2019),¥58.5 billion (2019),¥40.2 billion (2019),¥2.95 trillion (2019),¥1.06 trillion (2019),"109,390 (2019)",,"['NEC Corporation of America', ' NEC Europe']",www.nec.com
Safran Aircraft Engines,Safran Aircraft Engines (Snecma),Subsidiary,,,['Aerospace Defence'],,"Courcouronnes, France",,['Olivier Andriès (CEO)'],Aircraft engines Rocket engines,€ 10.452 billion (2018),,€ 1.929 billion (2018),,,"15,700 (2016)",Safran,,www.safran-aircraft-engines.com
Baxter International,Baxter International Inc.,Public,"NYSE: BAX, S&P 500 component",US0718131099,['Medical equipment'],,"Deerfield, Illinois, U.S.",,"['José E. Almeida', ' (Chairman & CEO) Jay Saccaro', ' (CFO)']",Medical supplies to treat hemophilia and kidney disease and provide intravenous therapy,US$10.561B (FY 2017),,US$717M (FY 2017),"US$17,111B (FY 2017)","US$9,116B (FY 2017)","48,000 (2017)",,,baxter.com
Monterrey Institute of Technology and Higher Education,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),Private,,,,,,,,,,,,,,,,,www.tec.mx
Google,Google LLC,Subsidiary,,,"['Internet', ' Cloud computing', ' Computer software', ' Computer hardware', ' Artificial intelligence', ' Advertising']",,"1600 Amphitheatre Parkway, Mountain View, California, U.S.",Worldwide,"['Sundar Pichai (CEO)', ' Ruth Porat (CFO)']",List of Google products,"66,001,000,000 US dollar (2014)","16,496,000,000 US dollar (2014)","14,444,000,000 United States dollar (2014)","131,133,000,000 US dollar (2014)",,"114,096 (Q3 2019 [update])",Alphabet Inc. (2015–present),['List of subsidiaries'],google.com
Apple Inc.,Apple Inc.,Public,"NASDAQ: AAPL, NASDAQ-100 component, DJIA component, S&P 100 component, S&P 500 component",US0378331005,"['Computer hardware', ' Computer software', ' Consumer electronics', ' Cloud computing', ' Digital distribution', ' Fabless silicon design', ' Semiconductors', ' Financial technology', ' Artificial intelligence']",,"1 Apple Park Way Cupertino, California, United States",Worldwide,"['Arthur D. Levinson (Chairman)', ' Tim Cook (CEO)', ' Jeff Williams (COO)']","Macintosh, iPod, iPhone, iPad, Apple Watch, Apple TV, HomePod, macOS, iOS, iPadOS, watchOS, tvOS, iLife, iWork, Final Cut Pro, Logic Pro, GarageBand, Shazam, Siri",US$ 260.174 billion (2019),US$63.930 billion (2019),US$55.256 billion (2019),US$338.516 billion (2019),US$90.488 billion (2019),"137,000 (2019)",,"['Braeburn Capital', ' Beats Electronics', ' Claris', ' Apple Energy', ' LLC', ' Apple Sales International ', ' Apple Services ', ' Apple Worldwide Video ', ' Anobit', ' Beddit']",www.apple.com
Northrop Grumman,Northrop Grumman Corporation,Public,NYSE : NOC S&P 500 Component,US6668071029,['Defense industry'],,"2980 Fairview Park Drive, West Falls Church, Virginia, United States",Worldwide,['Kathy J. Warden (President and CEO)'],"Military aircraft & unmanned aerial vehicles Military vessels Missiles & missile defense systems Autocannons, chain guns & munitions Satellites & space Information technology Electronic sensors and systems Rocket launch systems",US$ 30.1 billion (2018),US$3.78 billion (2018),US$3.229 billion (2018),US$34.917 billion (2017),US$7.048 billion (2017),"85,000 (2019)",,,www.northropgrumman.com
Red Hat,"Red Hat, Inc.",Business Unit,,US7565771026,['Computer software'],,"Raleigh, North Carolina, U.S.",Worldwide,['Naren Gupta (Chairman) Jim Whitehurst (CEO)'],"Red Hat Enterprise Linux, Red Hat Directory Server, Fedora, Satellite, Red Hat Enterprise Virtualization, Red Hat Storage Server, Red Hat Single Sign On, Ansible, CloudForms, OpenShift, Red Hat Hyperconverged Infrastructure for Virtualization, Red Hat AMQ, Red Hat Insights",US$ 3.4 billion (2018),US$512 million (2018),US$434 million (2018),US$5.588 billion (2018),US$1.613 billion (2018),"13,400 (as of February 28, 2019 [update])",IBM,"['Red Hat India', ' Red Hat Czech']",www.redhat.com
Naoyuki Fujita,Naoyuki Fujita,,,,,,,,,,,,,,,,,,
VMware,VMware Inc.,Public,NYSE : VMW Russell 1000 Component,US9285634021,['Computer software'],,"Palo Alto, California, United States",,['Michael Dell (Chairman) Pat Gelsinger (CEO) Sanjay Poonen (COO)'],"VMware vSphere, VMware ESXi, VMware Workstation, VMware Integrated Openstack, VMware Fusion, VMware Cloud Foundation, VMware Player, VMware Server (discontinued), VMware Service Manager, VMware ThinApp, VMware View, ACE, vCloud Director, VMware Learning Platform, VMware Infrastructure, Converter, Site Recovery Manager, Stage Manager, vRealize Automation, vRealize Automation Cloud, vRealize Operations, VMware NSX, vRealize Business, VMware vSAN, AppVolumes, vRealize Log Insight, vRealize Network Insight, vRealize CodeStream, vRealize Orchestrator, VMware Workspace ONE (AirWatch)",US$ 8.97 billion (2018),US$ 2.05 billion (2018),US$ 2.42 billion (2018),US$ 14.662 billion (2018),US$ 8.097 billion (2016),"24,200 (2019)",,,www.vmware.com
Cigital,Cigital,Public,,,['software security'],,"Mountain View, CA, Dulles, VA, U. S.",Worldwide,['Gary McGraw'],,,,,,,400 security consultants,Synopsys,,https://www.synopsys.com/software-integrity.html
Radiall,Radiall,Public,,,['Aerospace Defense Industrial Instrumentation Medical Space Telecommunication'],,"Aubervilliers, France",,['Pierre Gattaz (Chairman)'],RF Coaxial Connectors Multipin Aerospace Connectors Fiber Optics Microwave Components Antenna RF Cable Assembly Outdoor Connectors Space Qualified Components RF Cable Assembly Active Optics,,,,,,"2,987 (2014)",,,radiall.com
University of Mississippi,The University of Mississippi,Public Flagship Sea-grant Space-grant,,,,,,,,,,,,,,,,,www.olemiss.edu
Inserm,Institut national de la santé et de la recherche médicale,Governmental organization,,,,,,,,,,,,,,,,,inserm.fr/en
Nanyang Technological University,"Nanyang Technological University, Singapore",Autonomous university,,,,,,,,,,,,,,,,,www.ntu.edu.sg
Washington University in St. Louis,Washington University in St. Louis,Private,,,,,,,,,,,,,,,,,wustl.edu
Alere,Alere Inc.,,NYSE : ALR,US01449J1051,['health care diagnostics'],,"Waltham, Massachusetts, United States",Worldwide,,,$ 2.39 billion (As of 2017 [update]),,,,,"9,700 (2016)",,,www.alere.com
HCL Technologies,HCL Technologies,Public,"BSE: 532281, NSE: HCLTECH, BSE SENSEX Constituent",INE860A01027,"['IT services', ' IT consulting']",,"Noida, Uttar Pradesh, India",Worldwide,"['Shiv Nadar (Chairman & CSO) ', ' C Vijayakumar (CEO)']",,US$ 10 billion (2019),US$1.79 billion (2019),US$1.44 billion (2019),US$8.52 billion (2019),US$6.04 billion (2019),"147,123 (2019)",HCL Enterprise,,www.hcltech.com
Villanova University,Villanova University,Private,,,,,,,,,,,,,,,,,www.villanova.edu
